Wave direction
0.00000e+00
 Frequency          Fx                Fy
1.87700000e+00 2.84005384e+05 5.83080232e+05
2.02700000e+00 6.52146013e+05 2.24025653e+04
2.22100000e+00 3.58184594e+05 -1.51087937e+05
2.48300000e+00 1.90616254e+05 -1.26931909e+05
2.86700000e+00 -1.68256058e+04 1.09016919e+05
3.51100000e+00 5.77071428e+05 4.39779194e+05
Wave direction
1.04720e+00
 Frequency          Fx                Fy
4.30000000e-02 1.94038972e+03 3.37625081e+03
4.40000000e-02 2.06801995e+03 3.59866525e+03
4.50000000e-02 2.20028752e+03 3.82924802e+03
4.60000000e-02 2.33767753e+03 4.06875974e+03
4.80000000e-02 2.63480355e+03 4.58672482e+03
4.90000000e-02 2.79838373e+03 4.87190699e+03
5.10000000e-02 3.13653455e+03 5.46149059e+03
5.20000000e-02 3.32699719e+03 5.79344041e+03
5.40000000e-02 3.72429873e+03 6.48599587e+03
5.60000000e-02 4.15195950e+03 7.23158881e+03
5.80000000e-02 4.71037540e+03 8.20488227e+03
6.00000000e-02 5.17276654e+03 9.00756350e+03
6.20000000e-02 5.64514226e+03 9.83343405e+03
6.50000000e-02 6.60057405e+03 1.14953798e+04
6.80000000e-02 7.59149640e+03 1.32194402e+04
7.00000000e-02 8.25025569e+03 1.43647643e+04
7.40000000e-02 1.02349544e+04 1.77860517e+04
7.70000000e-02 1.23414412e+04 2.14456741e+04
8.10000000e-02 1.33972888e+04 2.32935596e+04
8.50000000e-02 1.54660154e+04 2.68706716e+04
9.00000000e-02 1.85300254e+04 3.21513187e+04
9.50000000e-02 2.18174940e+04 3.78071094e+04
1.01000000e-01 2.62501038e+04 4.54036292e+04
1.08000000e-01 3.17896326e+04 5.48743286e+04
1.15000000e-01 3.78999860e+04 6.52845433e+04
1.24000000e-01 4.63610559e+04 7.96465309e+04
1.35000000e-01 5.72737425e+04 9.81713208e+04
1.47000000e-01 6.96120071e+04 1.19212254e+05
1.61000000e-01 8.43340342e+04 1.44628083e+05
1.79000000e-01 1.03828894e+05 1.79009949e+05
2.00000000e-01 1.28277028e+05 2.23056975e+05
2.28000000e-01 1.65490656e+05 2.90127570e+05
2.65000000e-01 2.20151408e+05 3.85958656e+05
3.15000000e-01 3.04658050e+05 5.31342063e+05
3.88000000e-01 3.98722704e+05 7.05639059e+05
5.01000000e-01 6.17768436e+05 1.06015069e+06
6.97000000e-01 8.57476225e+05 1.47691982e+06
7.54000000e-01 8.50786155e+05 1.49021604e+06
8.19000000e-01 8.80197888e+05 1.42928394e+06
8.95000000e-01 9.99918377e+05 1.67629843e+06
9.38000000e-01 1.02813996e+06 1.75104941e+06
9.85000000e-01 1.12368542e+06 1.77812616e+06
1.03700000e+00 1.18608481e+06 1.96790051e+06
1.09500000e+00 1.31218857e+06 2.13404475e+06
1.16000000e+00 1.42873312e+06 2.19141576e+06
1.23500000e+00 1.01195753e+06 3.11546828e+06
1.27800000e+00 1.19824303e+06 2.68817236e+06
1.32400000e+00 1.50038234e+06 1.87992534e+06
1.37500000e+00 1.89762338e+06 1.60259737e+06
1.43200000e+00 1.12863450e+06 2.89105651e+06
1.49600000e+00 1.18365019e+06 2.73431435e+06
1.57000000e+00 1.45757444e+06 1.47175392e+06
1.65500000e+00 6.68418520e+05 3.24717749e+06
1.75500000e+00 1.76308235e+06 1.81243019e+06
1.87700000e+00 1.70747419e+06 1.33624654e+06
2.02700000e+00 1.14524241e+06 8.44626424e+05
2.22100000e+00 -4.47230287e+05 3.61897735e+05
2.48300000e+00 -8.34290562e+05 -1.57810159e+05
2.86700000e+00 3.37016681e+05 -7.72177200e+05
3.51100000e+00 2.60461545e+05 3.97013590e+05
Wave direction
1.57080e+00
 Frequency          Fx                Fy
4.30000000e-02 -4.46104628e+01 3.17819336e+03
4.40000000e-02 -5.07201988e+01 3.48483183e+03
4.50000000e-02 -5.74053968e+01 3.80159902e+03
4.60000000e-02 -6.47364615e+01 4.13702706e+03
4.80000000e-02 -8.14503450e+01 4.86607456e+03
4.90000000e-02 -9.11716735e+01 5.27329439e+03
5.10000000e-02 -1.12866866e+02 6.13177334e+03
5.20000000e-02 -1.25266543e+02 6.61471226e+03
5.40000000e-02 -1.53119245e+02 7.64510270e+03
5.60000000e-02 -1.85023232e+02 8.76229686e+03
5.80000000e-02 -2.24520372e+02 1.01724687e+04
6.00000000e-02 -2.64814763e+02 1.15121834e+04
6.20000000e-02 -3.09507704e+02 1.27919092e+04
6.50000000e-02 -3.94068856e+02 1.54366897e+04
6.80000000e-02 -4.89607240e+02 1.82335177e+04
7.00000000e-02 -5.57725549e+02 2.01472411e+04
7.40000000e-02 -7.41061229e+02 2.59132109e+04
7.70000000e-02 -9.47173353e+02 3.18274555e+04
8.10000000e-02 -1.10061066e+03 3.53025272e+04
8.50000000e-02 -1.33411785e+03 4.16975318e+04
9.00000000e-02 -1.67358495e+03 5.13009603e+04
9.50000000e-02 -2.03518849e+03 6.18730165e+04
1.01000000e-01 -2.49888136e+03 7.64442723e+04
1.08000000e-01 -3.02934137e+03 9.52480186e+04
1.15000000e-01 -3.52739678e+03 1.16523240e+05
1.24000000e-01 -4.04851796e+03 1.46895510e+05
1.35000000e-01 -4.39694625e+03 1.87382964e+05
1.47000000e-01 -4.37516307e+03 2.34372261e+05
1.61000000e-01 -3.94424816e+03 2.90678283e+05
1.79000000e-01 -3.27634984e+03 3.61868240e+05
2.00000000e-01 -3.01524745e+03 4.39649833e+05
2.28000000e-01 -2.65969041e+03 5.32691983e+05
2.65000000e-01 9.58283165e+02 6.36634426e+05
3.15000000e-01 5.93355226e+03 9.31228230e+05
3.88000000e-01 3.53249055e+04 1.01231730e+06
5.01000000e-01 2.86910236e+04 1.31349110e+06
6.97000000e-01 -2.45325977e+03 2.23247341e+06
7.54000000e-01 -1.57090632e+04 2.42946314e+06
8.19000000e-01 -8.77312849e+03 2.42101635e+06
8.95000000e-01 -4.36679874e+04 2.12148889e+06
9.38000000e-01 1.47461585e+05 1.23458841e+06
9.85000000e-01 -1.38125160e+05 2.67510980e+06
1.03700000e+00 6.45477901e+04 2.00230312e+06
1.09500000e+00 9.53161968e+04 9.01298195e+05
1.16000000e+00 -1.59330869e+03 2.27327056e+06
1.23500000e+00 -7.47712037e+03 2.47635051e+06
1.27800000e+00 1.73656894e+04 1.64940046e+06
1.32400000e+00 -6.63154319e+03 1.85087174e+06
1.37500000e+00 8.04151978e+04 2.46481857e+06
1.43200000e+00 1.28234123e+05 1.69445069e+06
1.49600000e+00 -1.41881551e+04 1.22409569e+06
1.57000000e+00 -4.49367558e+04 2.41124166e+06
1.65500000e+00 -4.35300756e+04 1.61080298e+06
1.75500000e+00 1.84881376e+05 1.20167098e+06
1.87700000e+00 4.52986239e+04 2.23380652e+06
2.02700000e+00 -9.86949736e+04 8.72240016e+05
2.22100000e+00 1.66335845e+05 1.44743917e+06
2.48300000e+00 1.78359953e+05 6.29739901e+05
2.86700000e+00 -5.97195583e+04 4.65040470e+05
3.51100000e+00 -1.68620042e+04 -1.36810599e+05
