Wave direction
0.00000e+00
    Frequency      Surge          Sway           Heave          Roll           Pitch          Yaw
1.49600000e+00 1.32706148e-03 3.28083813e-15 1.51280146e-03 8.96783235e-17 5.85485998e-05 4.02566418e-17
1.57000000e+00 1.09983137e-03 2.83418357e-15 1.25577746e-03 6.00909557e-17 4.69032056e-05 5.03319088e-17
1.65500000e+00 1.01210020e-03 2.35443878e-15 1.42117988e-03 2.87406350e-17 4.22357695e-05 4.95905929e-17
1.75500000e+00 6.62463722e-04 1.23870793e-14 8.10448763e-04 1.70529901e-16 3.14121166e-05 1.81766892e-16
1.87700000e+00 6.26508393e-04 6.55663980e-15 9.13350040e-04 1.09730993e-16 2.50718089e-05 9.66711424e-17
2.02700000e+00 1.47755531e-04 1.45349327e-14 9.18383993e-04 7.07180345e-17 5.34559943e-06 2.02746261e-16
2.22100000e+00 1.52104124e-04 2.99512108e-15 5.33299211e-04 4.82528993e-17 8.61132404e-06 2.07908251e-17
2.48300000e+00 2.75257482e-04 1.02246868e-15 2.49374556e-04 3.17355312e-17 9.80730720e-06 1.58563118e-17
2.86700000e+00 6.32728650e-05 8.94197501e-16 6.52485484e-05 3.04242502e-18 1.87346662e-06 1.29430205e-17
3.51100000e+00 6.39543804e-05 5.22336338e-17 3.88664888e-05 5.64270617e-18 8.22316953e-07 2.70253132e-18
Wave direction
5.23599e-01
    Frequency      Surge          Sway           Heave          Roll           Pitch          Yaw
4.30000000e-02 1.50280436e+01 8.54635011e+00 9.63798135e-01 1.74497056e-03 2.85773660e-03 2.09848224e-02
4.40000000e-02 1.46683445e+01 8.33928637e+00 9.62310671e-01 1.79072535e-03 2.92098896e-03 2.09654828e-02
4.50000000e-02 1.43243065e+01 8.14095859e+00 9.60783588e-01 1.83356189e-03 2.98387178e-03 2.09431084e-02
4.60000000e-02 1.39946662e+01 7.95094421e+00 9.59290428e-01 1.87449058e-03 3.04651085e-03 2.09198220e-02
4.80000000e-02 1.33762062e+01 7.59357233e+00 9.56368456e-01 1.94964850e-03 3.17129745e-03 2.08684471e-02
4.90000000e-02 1.30847775e+01 7.42580780e+00 9.54796661e-01 1.99232836e-03 3.23287893e-03 2.08469687e-02
5.10000000e-02 1.25347311e+01 7.10863432e+00 9.51741702e-01 2.07576523e-03 3.35524050e-03 2.07895587e-02
5.20000000e-02 1.22755683e+01 6.95918225e+00 9.50160889e-01 2.11520146e-03 3.41633743e-03 2.07666366e-02
5.40000000e-02 1.17833537e+01 6.67610507e+00 9.46903325e-01 2.20624770e-03 3.53674062e-03 2.07138390e-02
5.60000000e-02 1.13252093e+01 6.41204217e+00 9.43514534e-01 2.28219046e-03 3.65640517e-03 2.06572246e-02
5.80000000e-02 1.08948222e+01 6.16401577e+00 9.37799248e-01 2.18413994e-03 3.77044407e-03 2.07361979e-02
6.00000000e-02 1.04990348e+01 5.93696925e+00 9.37616853e-01 2.47915526e-03 3.89568278e-03 2.05295118e-02
6.20000000e-02 1.01201776e+01 5.71713745e+00 9.33436768e-01 2.52771097e-03 4.00846234e-03 2.04573109e-02
6.50000000e-02 9.59516729e+00 5.41696489e+00 9.27689989e-01 2.65448133e-03 4.17905097e-03 2.03840188e-02
6.80000000e-02 9.11472703e+00 5.14051749e+00 9.22092213e-01 2.77565141e-03 4.34749820e-03 2.02796246e-02
7.00000000e-02 8.81814939e+00 4.96723182e+00 9.19301213e-01 2.85822596e-03 4.45911565e-03 2.01790570e-02
7.40000000e-02 8.27068987e+00 4.65326911e+00 9.13219233e-01 2.96829796e-03 4.67793228e-03 2.01211698e-02
7.70000000e-02 7.84817491e+00 4.45375181e+00 8.92220981e-01 3.36531705e-03 4.82264285e-03 2.01808171e-02
8.10000000e-02 7.40439286e+00 4.17161574e+00 8.90399170e-01 3.39156839e-03 5.03843983e-03 1.98315513e-02
8.50000000e-02 6.98148067e+00 3.92640219e+00 8.82001971e-01 3.52945555e-03 5.24218720e-03 1.96498098e-02
9.00000000e-02 6.49685182e+00 3.65084657e+00 8.69271900e-01 3.73984453e-03 5.48656488e-03 1.94429451e-02
9.50000000e-02 6.05921434e+00 3.40144283e+00 8.55793778e-01 3.94603654e-03 5.72323417e-03 1.92146910e-02
1.01000000e-01 5.58488706e+00 3.13279712e+00 8.38059879e-01 4.19574309e-03 5.99550153e-03 1.89369738e-02
1.08000000e-01 5.09273659e+00 2.85315889e+00 8.15949245e-01 4.48092786e-03 6.29870580e-03 1.85828573e-02
1.15000000e-01 4.65347463e+00 2.60550654e+00 7.91236283e-01 4.77332986e-03 6.58500527e-03 1.82179545e-02
1.24000000e-01 4.15547973e+00 2.32459015e+00 7.56967530e-01 5.13902848e-03 6.93023504e-03 1.77216414e-02
1.35000000e-01 3.62831883e+00 2.02780115e+00 7.10328349e-01 5.57379114e-03 7.31454572e-03 1.70744407e-02
1.47000000e-01 3.13502431e+00 1.75027206e+00 6.54626764e-01 6.02201852e-03 7.68154518e-03 1.63207421e-02
1.61000000e-01 2.64323705e+00 1.47430325e+00 5.84798754e-01 6.49447643e-03 8.02757234e-03 1.53839974e-02
1.79000000e-01 2.11124865e+00 1.17690960e+00 4.91183161e-01 6.96781125e-03 8.30805714e-03 1.40987095e-02
2.00000000e-01 1.59708832e+00 8.90306990e-01 3.82406689e-01 7.20580089e-03 8.34553934e-03 1.25039967e-02
2.28000000e-01 1.05167634e+00 5.80101886e-01 2.46331880e-01 6.58159924e-03 7.85714236e-03 1.02614285e-02
2.65000000e-01 5.45026641e-01 2.56778345e-01 9.40815915e-02 2.65468707e-03 6.46190451e-03 7.13227248e-03
