Wave direction
0.00000e+00
    Frequency      Surge          Sway           Heave          Roll           Pitch          Yaw
5.01000000e-01 2.39712895e-02 9.12077517e-01 8.12013847e-01 1.26154864e-02 1.11115599e-03 1.34894248e-03
6.97000000e-01 1.04868021e-02 4.74754108e-01 3.07954928e-01 4.48248834e-03 7.22425128e-04 9.61270750e-04
7.54000000e-01 8.63468592e-03 3.91169887e-01 2.34153836e-01 3.51724204e-03 6.15291062e-04 8.91133572e-04
8.19000000e-01 6.71764386e-03 3.11460549e-01 1.71935048e-01 2.70349731e-03 5.15055164e-04 8.08918015e-04
8.95000000e-01 4.74275081e-03 2.35451429e-01 1.20504428e-01 1.97881186e-03 4.26741020e-04 7.11070998e-04
9.38000000e-01 4.04322146e-03 2.00171605e-01 9.78011765e-02 1.64343602e-03 3.96680863e-04 6.53284435e-04
9.85000000e-01 3.48356995e-03 1.66862760e-01 6.67130713e-02 1.31353715e-03 2.96175209e-04 5.88453111e-04
1.03700000e+00 5.57567333e-03 1.36100190e-01 7.26438223e-02 9.68758590e-04 4.64267925e-04 5.16251917e-04
1.09500000e+00 2.48080400e-03 1.04157801e-01 4.87681919e-02 1.87423440e-04 2.40269189e-04 4.39559004e-04
1.16000000e+00 2.15101530e-03 9.00118062e-02 3.53674750e-02 7.20789780e-04 2.13637233e-04 3.43668576e-04
1.23500000e+00 7.91029064e-04 6.97049804e-02 2.07915566e-02 3.76880518e-04 1.57882290e-04 2.69966251e-04
1.27800000e+00 8.35682252e-04 6.35077603e-02 7.43216558e-03 3.03463336e-04 9.57042042e-05 2.17113019e-04
1.32400000e+00 6.47786653e-04 5.66708989e-02 2.30351721e-02 2.47322617e-04 1.37351704e-04 1.71616181e-04
1.37500000e+00 3.00308077e-04 5.02074440e-02 1.55345878e-02 2.31108621e-04 1.16451823e-04 1.24632112e-04
1.43200000e+00 3.06931353e-04 4.35085184e-02 1.18298764e-02 2.67235514e-04 9.21567999e-05 8.00740173e-05
1.49600000e+00 9.70603935e-04 4.20592705e-02 8.57902090e-03 1.89865658e-04 7.15166842e-05 5.01586833e-05
1.57000000e+00 6.11424269e-04 3.39368178e-02 4.89187284e-03 2.00131974e-04 4.46240376e-05 3.56267139e-05
1.65500000e+00 8.63602129e-04 2.80552074e-02 6.36109832e-03 1.92995513e-04 4.28510216e-05 4.41269876e-05
1.75500000e+00 8.16924651e-04 1.91430438e-02 3.21691091e-03 1.81773122e-04 3.85497716e-05 6.08298591e-05
1.87700000e+00 5.33828144e-04 1.56893280e-02 1.93261594e-03 1.14165213e-04 3.13474752e-05 7.36685880e-05
2.02700000e+00 5.31432425e-04 9.03659227e-03 1.92411101e-03 1.01315401e-04 1.29054742e-05 2.92216899e-05
2.22100000e+00 2.69791261e-04 6.89977713e-03 1.20296250e-03 7.36152244e-05 1.81464858e-05 2.51032511e-05
2.48300000e+00 1.39049377e-04 2.73796208e-03 5.45826124e-04 3.54713419e-05 8.22789059e-06 1.25504103e-05
2.86700000e+00 7.90884222e-05 7.84703126e-04 1.92289975e-04 1.21720244e-05 3.62220179e-06 4.54536574e-06
3.51100000e+00 3.69790633e-05 4.20483054e-04 8.69650693e-05 1.24553061e-05 1.41689977e-06 1.72610972e-06
